;;;;;;;;;;;;;;;;;;;;;;;;
Famille;Brand;juin-08;juil.-08;août-08;sept.-08;oct.-08;nov.-08;déc.-08;janv.-09;févr.-09;mars-09;avr.-09;mai-09;TOTAL;demande moyenne;Niveau de service;Temps de Transport (jours);Temps de procès (jours);Délai de livraison (jours);Périodicité de commande (jours);Stock de sécurité (TN);couverture (semaine);Niveau de recomplétement (TN);Stock d'alerte (TN)
4L;Bouillon; 3,65   ; 5,77   ; 1,96   ; 0,75   ; 9,21   ;-1,10   ;-0,02   ;-4,10   ; 2,27   ; 2,28   ; 1,72   ; 2,55   ; 24,94   ; 2,08   ;95%;1;0,5;2;7;1,73;3,33;2,67; 1,94   
Bad;Brosse; 0,74   ;-4,42   ; 6,27   ;-1,14   ; 3,09   ; 2,86   ; 3,97   ; 3,31   ; 1,93   ; 1,50   ; 3,89   ; 1,55   ; 23,57   ; 1,96   ;95%;1;0,5;2;7;1,42;2,90;2,31; 1,62   
S425g;Skiphs; 2,32   ; 2,17   ; 5,44   ;-3,69   ; 1,88   ; 1,72   ; 1,26   ; 2,23   ; 2,25   ; 2,55   ; 1,89   ; 3,34   ; 23,36   ; 1,95   ;95%;1;0,5;2;7;1,08;2,21;1,95; 1,27   
30*10 sachets;SEAS; 0,43   ; 0,14   ; 1,23   ; 3,59   ; 1,94   ; 3,43   ; 1,88   ; 2,68   ; 1,63   ; 1,54   ; 1,78   ; 1,79   ; 22,05   ; 1,84   ;95%;1;0,5;2;15;0,54;1,17;2,10; 0,72   
100L;Bouillon; 5,65   ; 3,36   ; 0,07   ;-5,23   ; 8,76   ; 0,42   ;-0,07   ; -     ; 2,41   ; 2,83   ; 1,58   ; 1,78   ; 21,55   ; 1,80   ;95%;1;0,5;2;15;1,78;3,95;3,30; 1,95   
190ml;Clearshmp; 0,67   ; 4,41   ; 2,20   ;-0,98   ; 1,57   ; 2,45   ; 1,49   ; 1,47   ; 1,48   ; 2,09   ; 1,06   ; 2,02   ; 19,94   ; 1,66   ;95%;1;0,5;2;15;0,65;1,57;2,06; 0,82   
200ml;Sunsilk shmp; 0,68   ; 4,86   ; 0,26   ;-1,80   ; 1,72   ; 0,96   ; 0,87   ; 1,82   ; 2,04   ; 1,79   ; 2,88   ; 3,80   ; 19,88   ; 1,66   ;95%;1;0,5;2;15;0,89;2,16;2,30; 1,06   
Bag 5 Kg;Skipls; 1,98   ; 1,41   ; 0,54   ; 4,16   ;-2,12   ;-0,71   ; 1,72   ; 0,50   ; 0,68   ; 2,57   ; 4,20   ; 3,17   ; 18,09   ; 1,51   ;95%;1;0,5;2;15;0,98;2,60;2,26; 1,13   
170 grs;Maizena; 1,59   ; 0,93   ; 2,06   ; 3,96   ; 1,08   ; 0,86   ; 0,86   ; 1,28   ; 1,13   ; 1,55   ; 1,59   ; 1,06   ; 17,96   ; 1,50   ;95%;1;0,5;2;15;0,45;1,19;1,72; 0,60   
big nose;Signal; 0,06   ; 0,11   ; 1,44   ; -     ; 2,98   ; 0,27   ; 1,64   ; 4,17   ; 0,35   ; 0,06   ; 0,01   ; 1,41   ; 12,51   ; 1,04   ;95%;1;0,5;2;15;0,71;2,70;1,59; 0,81   
