"","","","","","","","","","","","","","","","","","","","","","","","",""
"Famille","Brand","Jun-08","Jul-08","Aug-08","Sep-08","Oct-08","Nov-08","Dec-08","Jan-09","Feb-09","Mar-09","Apr-09","May-09","TOTAL","demande moyenne","Niveau de service","Temps de Transport (jours)","Temps de proc√®s (jours)","D√©lai de livraison (jours)","P√©riodicit√© de commande (jours)","Stock de s√©curit√© (TN)","couverture (semaine)","Niveau de recompl√©tement (TN)","Stock d'alerte (TN)"
"S760g","Omo","  4.47\  Ç¨ ","  2.74\  Ç¨ ","  3.87\  Ç¨ ","  5.37\  Ç¨ ","  6.15\  Ç¨ ","  4.64\  Ç¨ ","  4.44\  Ç¨ ","  4.85\  Ç¨ ","  5.17\  Ç¨ ","  4.45\  Ç¨ ","  4.48\  Ç¨ ","  3.70\  Ç¨ ","  54.31\  Ç¨ ","  4.53\  Ç¨ ","95%","1","0.5","2","7","0.45","0.40","2.49","  0.90\  Ç¨ "
"100 sachets","Sucre Vanille","  1.10\  Ç¨ ","  4.97\  Ç¨ ","  8.35\  Ç¨ ","  14.86\  Ç¨ ","- 3.11\  Ç¨ ","  2.41\  Ç¨ ","  5.59\  Ç¨ ","  3.66\  Ç¨ ","  4.02\  Ç¨ ","  5.08\  Ç¨ ","  2.24\  Ç¨ ","  4.68\  Ç¨ ","  53.85\  Ç¨ ","  4.49\  Ç¨ ","95%","1","0.5","2","7","2.24","2.00","4.26","  2.69\  Ç¨ "
"Bag 1 Kg","Skipls","  4.67\  Ç¨ ","  12.55\  Ç¨ ","  0.96\  Ç¨ ","- 3.27\  Ç¨ ","  5.00\  Ç¨ ","  3.92\  Ç¨ ","  3.71\  Ç¨ ","  2.95\  Ç¨ ","  3.50\  Ç¨ ","  5.40\  Ç¨ ","  4.85\  Ç¨ ","  3.83\  Ç¨ ","  48.09\  Ç¨ ","  4.01\  Ç¨ ","95%","1","0.5","2","7","1.86","1.86","3.67","  2.26\  Ç¨ "
"75grs","Lux bar","  0.89\  Ç¨ ","  9.69\  Ç¨ ","- 0.07\  Ç¨ ","  1.34\  Ç¨ ","  3.30\  Ç¨ ","  2.44\  Ç¨ ","  2.91\  Ç¨ ","  4.13\  Ç¨ ","  4.67\  Ç¨ ","  2.75\  Ç¨ ","  4.91\  Ç¨ ","  6.71\  Ç¨ ","  43.65\  Ç¨ ","  3.64\  Ç¨ ","95%","1","0.5","2","7","1.39","1.53","3.03","  1.75\  Ç¨ "
"4*10 sachets","Levure Chimique","  3.40\  Ç¨ ","  2.39\  Ç¨ ","  2.98\  Ç¨ ","  7.38\  Ç¨ ","- 1.61\  Ç¨ ","  1.76\  Ç¨ ","  3.33\  Ç¨ ","  3.07\  Ç¨ ","  3.48\  Ç¨ ","  4.70\  Ç¨ ","  2.33\  Ç¨ ","  5.80\  Ç¨ ","  39.02\  Ç¨ ","  3.25\  Ç¨ ","95%","1","0.5","2","7","1.14","1.41","2.61","  1.47\  Ç¨ "
"95ml","Clearshmp","  0.15\  Ç¨ ","  2.87\  Ç¨ ","  2.11\  Ç¨ ","  1.28\  Ç¨ ","  2.73\  Ç¨ ","  1.37\  Ç¨ ","  3.34\  Ç¨ ","  4.01\  Ç¨ ","  2.57\  Ç¨ ","  3.01\  Ç¨ ","  2.44\  Ç¨ ","  2.53\  Ç¨ ","  28.41\  Ç¨ ","  2.37\  Ç¨ ","95%","1","0.5","2","7","0.54","0.90","1.60","  0.77\  Ç¨ "
"Box 1 Kg","Skipls","  2.37\  Ç¨ ","  2.94\  Ç¨ ","  7.94\  Ç¨ ","  0.33\  Ç¨ ","- 2.24\  Ç¨ ","  1.62\  Ç¨ ","  2.16\  Ç¨ ","  2.42\  Ç¨ ","  3.79\  Ç¨ ","  2.27\  Ç¨ ","  2.04\  Ç¨ ","  2.25\  Ç¨ ","  27.90\  Ç¨ ","  2.33\  Ç¨ ","95%","1","0.5","2","7","1.21","2.08","2.26","  1.44\  Ç¨ "
"10kg","Zed","","","","  3.58\  Ç¨ ","  2.53\  Ç¨ ","  2.96\  Ç¨ ","  3.17\  Ç¨ ","  3.21\  Ç¨ ","  3.34\  Ç¨ ","  4.05\  Ç¨ ","  1.53\  Ç¨ ","  2.34\  Ç¨ ","  26.71\  Ç¨ ","  2.97\  Ç¨ ","95%","1","0.5","2","7","0.39","0.52","1.72","  0.68\  Ç¨ "
"S160g ","Skipls","  2.23\  Ç¨ ","  5.41\  Ç¨ ","  2.57\  Ç¨ ","- 0.89\  Ç¨ ","  3.11\  Ç¨ ","  4.10\  Ç¨ ","  0.56\  Ç¨ ","- 0.05\  Ç¨ ","  2.81\  Ç¨ ","  0.97\  Ç¨ ","  2.11\  Ç¨ ","  2.48\  Ç¨ ","  25.41\  Ç¨ ","  2.12\  Ç¨ ","95%","1","0.5","2","7","0.92","1.73","1.87","  1.13\  Ç¨ "
"100grs","Dove Bar","  0.86\  Ç¨ ","  4.49\  Ç¨ ","  2.93\  Ç¨ ","  2.28\  Ç¨ ","  2.79\  Ç¨ ","  1.68\  Ç¨ ","  1.57\  Ç¨ ","  1.77\  Ç¨ ","  1.62\  Ç¨ ","  1.52\  Ç¨ ","  2.02\  Ç¨ ","  1.55\  Ç¨ ","  25.08\  Ç¨ ","  2.09\  Ç¨ ","95%","1","0.5","2","7","0.49","0.94","1.43","  0.70\  Ç¨ "
"4L","Bouillon","  3.65\  Ç¨ ","  5.77\  Ç¨ ","  1.96\  Ç¨ ","  0.75\  Ç¨ ","  9.21\  Ç¨ ","- 1.10\  Ç¨ ","- 0.02\  Ç¨ ","- 4.10\  Ç¨ ","  2.27\  Ç¨ ","  2.28\  Ç¨ ","  1.72\  Ç¨ ","  2.55\  Ç¨ ","  24.94\  Ç¨ ","  2.08\  Ç¨ ","95%","1","0.5","2","7","1.73","3.33","2.67","  1.94\  Ç¨ "
"Bad","Brosse","  0.74\  Ç¨ ","- 4.42\  Ç¨ ","  6.27\  Ç¨ ","- 1.14\  Ç¨ ","  3.09\  Ç¨ ","  2.86\  Ç¨ ","  3.97\  Ç¨ ","  3.31\  Ç¨ ","  1.93\  Ç¨ ","  1.50\  Ç¨ ","  3.89\  Ç¨ ","  1.55\  Ç¨ ","  23.57\  Ç¨ ","  1.96\  Ç¨ ","95%","1","0.5","2","7","1.42","2.90","2.31","  1.62\  Ç¨ "
"S425g","Skiphs","  2.32\  Ç¨ ","  2.17\  Ç¨ ","  5.44\  Ç¨ ","- 3.69\  Ç¨ ","  1.88\  Ç¨ ","  1.72\  Ç¨ ","  1.26\  Ç¨ ","  2.23\  Ç¨ ","  2.25\  Ç¨ ","  2.55\  Ç¨ ","  1.89\  Ç¨ ","  3.34\  Ç¨ ","  23.36\  Ç¨ ","  1.95\  Ç¨ ","95%","1","0.5","2","7","1.08","2.21","1.95","  1.27\  Ç¨ "
"30*10 sachets","SEAS","  0.43\  Ç¨ ","  0.14\  Ç¨ ","  1.23\  Ç¨ ","  3.59\  Ç¨ ","  1.94\  Ç¨ ","  3.43\  Ç¨ ","  1.88\  Ç¨ ","  2.68\  Ç¨ ","  1.63\  Ç¨ ","  1.54\  Ç¨ ","  1.78\  Ç¨ ","  1.79\  Ç¨ ","  22.05\  Ç¨ ","  1.84\  Ç¨ ","95%","1","0.5","2","15","0.54","1.17","2.10","  0.72\  Ç¨ "
"100L","Bouillon","  5.65\  Ç¨ ","  3.36\  Ç¨ ","  0.07\  Ç¨ ","- 5.23\  Ç¨ ","  8.76\  Ç¨ ","  0.42\  Ç¨ ","- 0.07\  Ç¨ ","0","  2.41\  Ç¨ ","  2.83\  Ç¨ ","  1.58\  Ç¨ ","  1.78\  Ç¨ ","  21.55\  Ç¨ ","  1.80\  Ç¨ ","95%","1","0.5","2","15","1.78","3.95","3.30","  1.95\  Ç¨ "
"190ml","Clearshmp","  0.67\  Ç¨ ","  4.41\  Ç¨ ","  2.20\  Ç¨ ","- 0.98\  Ç¨ ","  1.57\  Ç¨ ","  2.45\  Ç¨ ","  1.49\  Ç¨ ","  1.47\  Ç¨ ","  1.48\  Ç¨ ","  2.09\  Ç¨ ","  1.06\  Ç¨ ","  2.02\  Ç¨ ","  19.94\  Ç¨ ","  1.66\  Ç¨ ","95%","1","0.5","2","15","0.65","1.57","2.06","  0.82\  Ç¨ "
"200ml","Sunsilk shmp","  0.68\  Ç¨ ","  4.86\  Ç¨ ","  0.26\  Ç¨ ","- 1.80\  Ç¨ ","  1.72\  Ç¨ ","  0.96\  Ç¨ ","  0.87\  Ç¨ ","  1.82\  Ç¨ ","  2.04\  Ç¨ ","  1.79\  Ç¨ ","  2.88\  Ç¨ ","  3.80\  Ç¨ ","  19.88\  Ç¨ ","  1.66\  Ç¨ ","95%","1","0.5","2","15","0.89","2.16","2.30","  1.06\  Ç¨ "
"Bag 5 Kg","Skipls","  1.98\  Ç¨ ","  1.41\  Ç¨ ","  0.54\  Ç¨ ","  4.16\  Ç¨ ","- 2.12\  Ç¨ ","- 0.71\  Ç¨ ","  1.72\  Ç¨ ","  0.50\  Ç¨ ","  0.68\  Ç¨ ","  2.57\  Ç¨ ","  4.20\  Ç¨ ","  3.17\  Ç¨ ","  18.09\  Ç¨ ","  1.51\  Ç¨ ","95%","1","0.5","2","15","0.98","2.60","2.26","  1.13\  Ç¨ "
"170 grs","Maizena","  1.59\  Ç¨ ","  0.93\  Ç¨ ","  2.06\  Ç¨ ","  3.96\  Ç¨ ","  1.08\  Ç¨ ","  0.86\  Ç¨ ","  0.86\  Ç¨ ","  1.28\  Ç¨ ","  1.13\  Ç¨ ","  1.55\  Ç¨ ","  1.59\  Ç¨ ","  1.06\  Ç¨ ","  17.96\  Ç¨ ","  1.50\  Ç¨ ","95%","1","0.5","2","15","0.45","1.19","1.72","  0.60\  Ç¨ "
"big nose","Signal","  0.06\  Ç¨ ","  0.11\  Ç¨ ","  1.44\  Ç¨ ","0","  2.98\  Ç¨ ","  0.27\  Ç¨ ","  1.64\  Ç¨ ","  4.17\  Ç¨ ","  0.35\  Ç¨ ","  0.06\  Ç¨ ","  0.01\  Ç¨ ","  1.41\  Ç¨ ","  12.51\  Ç¨ ","  1.04\  Ç¨ ","95%","1","0.5","2","15","0.71","2.70","1.59","  0.81\  Ç¨ "
"14*10 sachets","Sucre Vanille","  0.49\  Ç¨ ","  2.19\  Ç¨ ","  0.66\  Ç¨ ","  3.78\  Ç¨ ","- 0.02\  Ç¨ ","- 0.03\  Ç¨ ","- 0.41\  Ç¨ ","  0.96\  Ç¨ ","  0.94\  Ç¨ ","  1.42\  Ç¨ ","  0.82\  Ç¨ ","  1.71\  Ç¨ ","  12.51\  Ç¨ ","  1.04\  Ç¨ ","95%","1","0.5","2","15","0.59","2.28","1.48","  0.70\  Ç¨ "
"25ml","Close up","  0.06\  Ç¨ ","  0.21\  Ç¨ ","  1.31\  Ç¨ ","  0.84\  Ç¨ ","  1.48\  Ç¨ ","  1.08\  Ç¨ ","  0.66\  Ç¨ ","  0.83\  Ç¨ ","  0.75\  Ç¨ ","  0.89\  Ç¨ ","  2.86\  Ç¨ ","  1.03\  Ç¨ ","  11.98\  Ç¨ ","  1.00\  Ç¨ ","95%","1","0.5","2","15","0.37","1.48","1.22","  0.47\  Ç¨ "
"75ml","Sunsilk huile","  2.07\  Ç¨ ","  1.13\  Ç¨ ","  0.75\  Ç¨ ","  0.50\  Ç¨ ","  0.26\  Ç¨ ","  0.80\  Ç¨ ","  0.72\  Ç¨ ","  2.77\  Ç¨ ","  0.49\  Ç¨ ","  0.15\  Ç¨ ","  0.11\  Ç¨ ","  1.81\  Ç¨ ","  11.54\  Ç¨ ","  0.96\  Ç¨ ","95%","1","0.5","2","15","0.44","1.81","1.25","  0.53\  Ç¨ "
"50ml","Close up","  0.17\  Ç¨ ","- 0.19\  Ç¨ ","  0.49\  Ç¨ ","  1.03\  Ç¨ ","  1.01\  Ç¨ ","  1.02\  Ç¨ ","  0.67\  Ç¨ ","  0.46\  Ç¨ ","  0.77\  Ç¨ ","  1.86\  Ç¨ ","  1.78\  Ç¨ ","  2.26\  Ç¨ ","  11.33\  Ç¨ ","  0.94\  Ç¨ ","95%","1","0.5","2","15","0.37","1.59","1.18","  0.47\  Ç¨ "
"Box 5 Kg","Skipls","  2.00\  Ç¨ ","  3.17\  Ç¨ ","- 0.18\  Ç¨ ","  0.36\  Ç¨ ","  0.20\  Ç¨ ","- 0.89\  Ç¨ ","  1.45\  Ç¨ ","  1.19\  Ç¨ ","  0.45\  Ç¨ ","  1.41\  Ç¨ ","  0.92\  Ç¨ ","  1.09\  Ç¨ ","  11.15\  Ç¨ ","  0.93\  Ç¨ ","95%","1","0.5","2","15","0.55","2.37","1.34","  0.64\  Ç¨ "
"160ml","Axe","  0.62\  Ç¨ ","  0.98\  Ç¨ ","  1.10\  Ç¨ ","  1.48\  Ç¨ ","  1.23\  Ç¨ ","  0.80\  Ç¨ ","  0.78\  Ç¨ ","  0.66\  Ç¨ ","  0.80\  Ç¨ ","  0.73\  Ç¨ ","  0.44\  Ç¨ ","  1.16\  Ç¨ ","  10.79\  Ç¨ ","  0.90\  Ç¨ ","95%","1","0.5","2","15","0.15","0.69","0.92","  0.24\  Ç¨ "
